file,Module_check_count,Module_timer_add_total,Module_timer_check_total,Module_timer_remove_total,NewCoveringModule_backtracking_only_calls,NewCoveringModule_bound_samples,NewCoveringModule_covering_heuristic_type,NewCoveringModule_dimension,NewCoveringModule_incremental_and_backtracking_calls,NewCoveringModule_incremental_only_calls,NewCoveringModule_is_sample_outside_algorithm,NewCoveringModule_operator_type,NewCoveringModule_samples,NewCoveringModule_sampling_algorithm,NewCoveringModule_time_compute_covering_count,NewCoveringModule_time_compute_covering_overall_ms,NewCoveringModule_time_construct_derivation_count,NewCoveringModule_time_construct_derivation_overall_ms,NewCoveringModule_total_calls,NewCoveringModule_variable_ordering_type,SATModule<SATSettings1>_check_count,SATModule<SATSettings1>_timer_add_total,SATModule<SATSettings1>_timer_check_total,SATModule<SATSettings1>_timer_remove_total,SATModule_0_clauses,SATModule_0_decisions,SATModule_0_introduced_variables,SATModule_0_lemmas_learned,SATModule_0_mcsat_backjumpDecide,SATModule_0_mcsat_booleanConflict,SATModule_0_mcsat_booleanDecision,SATModule_0_mcsat_inconsistentTheoryDecision,SATModule_0_mcsat_insertedLazyExplanation,SATModule_0_mcsat_modelAssignmentCacheHit,SATModule_0_mcsat_theoryConflict,SATModule_0_mcsat_theoryDecision,SATModule_0_mcsat_usedLazyExplanation,SATModule_0_propagations,SATModule_0_restarts,SATModule_0_tseitin_variables,SATModule_0_variables,SATModule_0_variables_preferably_set_to_true,answer,cli_parsing_count,cli_parsing_overall_ms,exitcode,peak_memory_kbytes,runtime
20161105-Sturm-MBO/mbo_E1.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,134,1487408,13457
20161105-Sturm-MBO/mbo_E10.smt2,1,0,0,0,0,1,DEFAULT_COVERING,6,0,0,DEFAULT,mccallum,7,LOWER_UPPER_BETWEEN_SAMPLING,9,0,2,58313,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551608,0,,,,,,,,,,0,0,0,8,0,timeout,,,11,107468,63059
20161105-Sturm-MBO/mbo_E10E11.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,134,1742292,6999
20161105-Sturm-MBO/mbo_E10E12.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeout,,,134,93376,63058
20161105-Sturm-MBO/mbo_E10E13.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,7,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,1343904,63126
20161105-Sturm-MBO/mbo_E10E14.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,7,1,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,569024,63065
20161105-Sturm-MBO/mbo_E10E15.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,7,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,808472,63090
20161105-Sturm-MBO/mbo_E10E16.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,6,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,33020,63022
20161105-Sturm-MBO/mbo_E10E17.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,6,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,31000,63063
20161105-Sturm-MBO/mbo_E10E18.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,7,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,82940,63175
20161105-Sturm-MBO/mbo_E10E19.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,6,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,30604,63013
20161105-Sturm-MBO/mbo_E10E20.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,12,390852,24168
20161105-Sturm-MBO/mbo_E10E21.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,12,262168,11139
20161105-Sturm-MBO/mbo_E10E22.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,7,1,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,679552,63083
20161105-Sturm-MBO/mbo_E10E23.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,7,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,455700,63091
20161105-Sturm-MBO/mbo_E10E24.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,6,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,81160,63048
20161105-Sturm-MBO/mbo_E10E25.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,6,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,191408,63113
20161105-Sturm-MBO/mbo_E10E26.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,7,1,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,616124,63118
20161105-Sturm-MBO/mbo_E10E27.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,12,575500,45395
20161105-Sturm-MBO/mbo_E10E28.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,7,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,636444,63104
20161105-Sturm-MBO/mbo_E11.smt2,1,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,unsat,1,2,3,15824,70
20161105-Sturm-MBO/mbo_E11E12.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,8,LOWER_UPPER_BETWEEN_SAMPLING,12,0,3,15299,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,74672,63062
20161105-Sturm-MBO/mbo_E11E13.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,12,407672,21752
20161105-Sturm-MBO/mbo_E11E14.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,12,320092,17306
20161105-Sturm-MBO/mbo_E11E15.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,12,333176,19630
20161105-Sturm-MBO/mbo_E11E16.smt2,1,0,0,0,0,67,DEFAULT_COVERING,6,0,0,DEFAULT,mccallum,232,LOWER_UPPER_BETWEEN_SAMPLING,459,0,227,35626,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551608,0,,,,,,,,,,0,0,0,8,0,timeout,,,11,139200,63036
20161105-Sturm-MBO/mbo_E11E17.smt2,1,0,0,0,0,0,DEFAULT_COVERING,6,0,0,DEFAULT,mccallum,5,LOWER_UPPER_BETWEEN_SAMPLING,6,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551608,0,,,,,,,,,,0,0,0,8,0,timeout,,,11,441748,63072
20161105-Sturm-MBO/mbo_E11E18.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,7,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,3057396,63305
20161105-Sturm-MBO/mbo_E11E19.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,7,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,2483224,63254
20161105-Sturm-MBO/mbo_E11E20.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,12,119600,5080
20161105-Sturm-MBO/mbo_E11E21.smt2,1,0,1,0,0,9,DEFAULT_COVERING,6,0,0,DEFAULT,mccallum,81,LOWER_UPPER_BETWEEN_SAMPLING,163,0,81,5234,1,GreedyMaxUnivariate,1,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,8,0,unsat,1,5879,3,20408,5937
20161105-Sturm-MBO/mbo_E11E22.smt2,1,0,0,0,0,2,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,18,LOWER_UPPER_BETWEEN_SAMPLING,30,0,12,36778,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,58908,63077
20161105-Sturm-MBO/mbo_E11E23.smt2,1,0,0,0,0,2,DEFAULT_COVERING,6,0,0,DEFAULT,mccallum,18,LOWER_UPPER_BETWEEN_SAMPLING,37,0,18,18,1,GreedyMaxUnivariate,1,0,1,0,0,0,0,1,,,,,,,,,,0,0,0,8,0,unsat,1,201,3,18108,269
20161105-Sturm-MBO/mbo_E11E24.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,DEFAULT,mccallum,6,LOWER_UPPER_BETWEEN_SAMPLING,7,0,0,0,1,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,741540,63100
20161105-Sturm-MBO/mbo_E11E25.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,12,200872,10120
20161105-Sturm-MBO/mbo_E11E26.smt2,1,0,0,0,0,4,DEFAULT_COVERING,6,0,0,DEFAULT,mccallum,30,LOWER_UPPER_BETWEEN_SAMPLING,61,0,30,613,1,GreedyMaxUnivariate,1,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,8,0,unsat,1,881,3,19500,941
